clean_path,noisy_path
/workspace/diagnostics_train/aligned/clean/0001.wav,/workspace/diagnostics_train/aligned/noisy/0001.wav
/workspace/diagnostics_train/aligned/clean/0002.wav,/workspace/diagnostics_train/aligned/noisy/0002.wav
/workspace/diagnostics_train/aligned/clean/0003.wav,/workspace/diagnostics_train/aligned/noisy/0003.wav
/workspace/diagnostics_train/aligned/clean/0006.wav,/workspace/diagnostics_train/aligned/noisy/0006.wav
/workspace/diagnostics_train/aligned/clean/0009.wav,/workspace/diagnostics_train/aligned/noisy/0009.wav
/workspace/diagnostics_train/aligned/clean/0010.wav,/workspace/diagnostics_train/aligned/noisy/0010.wav
/workspace/diagnostics_train/aligned/clean/0011.wav,/workspace/diagnostics_train/aligned/noisy/0011.wav
/workspace/diagnostics_train/aligned/clean/0013.wav,/workspace/diagnostics_train/aligned/noisy/0013.wav
/workspace/diagnostics_train/aligned/clean/0016.wav,/workspace/diagnostics_train/aligned/noisy/0016.wav
/workspace/diagnostics_train/aligned/clean/0017.wav,/workspace/diagnostics_train/aligned/noisy/0017.wav
/workspace/diagnostics_train/aligned/clean/0019.wav,/workspace/diagnostics_train/aligned/noisy/0019.wav
/workspace/diagnostics_train/aligned/clean/0020.wav,/workspace/diagnostics_train/aligned/noisy/0020.wav
/workspace/diagnostics_train/aligned/clean/0021.wav,/workspace/diagnostics_train/aligned/noisy/0021.wav
/workspace/diagnostics_train/aligned/clean/0022.wav,/workspace/diagnostics_train/aligned/noisy/0022.wav
/workspace/diagnostics_train/aligned/clean/0023.wav,/workspace/diagnostics_train/aligned/noisy/0023.wav
/workspace/diagnostics_train/aligned/clean/0024.wav,/workspace/diagnostics_train/aligned/noisy/0024.wav
/workspace/diagnostics_train/aligned/clean/0025.wav,/workspace/diagnostics_train/aligned/noisy/0025.wav
/workspace/diagnostics_train/aligned/clean/0026.wav,/workspace/diagnostics_train/aligned/noisy/0026.wav
/workspace/diagnostics_train/aligned/clean/0027.wav,/workspace/diagnostics_train/aligned/noisy/0027.wav
/workspace/diagnostics_train/aligned/clean/0031.wav,/workspace/diagnostics_train/aligned/noisy/0031.wav
/workspace/diagnostics_train/aligned/clean/0033.wav,/workspace/diagnostics_train/aligned/noisy/0033.wav
/workspace/diagnostics_train/aligned/clean/0034.wav,/workspace/diagnostics_train/aligned/noisy/0034.wav
/workspace/diagnostics_train/aligned/clean/0035.wav,/workspace/diagnostics_train/aligned/noisy/0035.wav
/workspace/diagnostics_train/aligned/clean/0037.wav,/workspace/diagnostics_train/aligned/noisy/0037.wav
/workspace/diagnostics_train/aligned/clean/0038.wav,/workspace/diagnostics_train/aligned/noisy/0038.wav
/workspace/diagnostics_train/aligned/clean/0039.wav,/workspace/diagnostics_train/aligned/noisy/0039.wav
/workspace/diagnostics_train/aligned/clean/0040.wav,/workspace/diagnostics_train/aligned/noisy/0040.wav
/workspace/diagnostics_train/aligned/clean/0042.wav,/workspace/diagnostics_train/aligned/noisy/0042.wav
/workspace/diagnostics_train/aligned/clean/0044.wav,/workspace/diagnostics_train/aligned/noisy/0044.wav
/workspace/diagnostics_train/aligned/clean/0045.wav,/workspace/diagnostics_train/aligned/noisy/0045.wav
/workspace/diagnostics_train/aligned/clean/0046.wav,/workspace/diagnostics_train/aligned/noisy/0046.wav
/workspace/diagnostics_train/aligned/clean/0047.wav,/workspace/diagnostics_train/aligned/noisy/0047.wav
