clean_path,noisy_path
/workspace/diagnostics_train/normalized/clean/0001.wav,/workspace/diagnostics_train/normalized/noisy/0001.wav
/workspace/diagnostics_train/normalized/clean/0002.wav,/workspace/diagnostics_train/normalized/noisy/0002.wav
/workspace/diagnostics_train/normalized/clean/0003.wav,/workspace/diagnostics_train/normalized/noisy/0003.wav
/workspace/diagnostics_train/normalized/clean/0006.wav,/workspace/diagnostics_train/normalized/noisy/0006.wav
/workspace/diagnostics_train/normalized/clean/0009.wav,/workspace/diagnostics_train/normalized/noisy/0009.wav
/workspace/diagnostics_train/normalized/clean/0010.wav,/workspace/diagnostics_train/normalized/noisy/0010.wav
/workspace/diagnostics_train/normalized/clean/0011.wav,/workspace/diagnostics_train/normalized/noisy/0011.wav
/workspace/diagnostics_train/normalized/clean/0013.wav,/workspace/diagnostics_train/normalized/noisy/0013.wav
/workspace/diagnostics_train/normalized/clean/0016.wav,/workspace/diagnostics_train/normalized/noisy/0016.wav
/workspace/diagnostics_train/normalized/clean/0017.wav,/workspace/diagnostics_train/normalized/noisy/0017.wav
/workspace/diagnostics_train/normalized/clean/0019.wav,/workspace/diagnostics_train/normalized/noisy/0019.wav
/workspace/diagnostics_train/normalized/clean/0020.wav,/workspace/diagnostics_train/normalized/noisy/0020.wav
/workspace/diagnostics_train/normalized/clean/0021.wav,/workspace/diagnostics_train/normalized/noisy/0021.wav
/workspace/diagnostics_train/normalized/clean/0022.wav,/workspace/diagnostics_train/normalized/noisy/0022.wav
/workspace/diagnostics_train/normalized/clean/0023.wav,/workspace/diagnostics_train/normalized/noisy/0023.wav
/workspace/diagnostics_train/normalized/clean/0024.wav,/workspace/diagnostics_train/normalized/noisy/0024.wav
/workspace/diagnostics_train/normalized/clean/0025.wav,/workspace/diagnostics_train/normalized/noisy/0025.wav
/workspace/diagnostics_train/normalized/clean/0026.wav,/workspace/diagnostics_train/normalized/noisy/0026.wav
/workspace/diagnostics_train/normalized/clean/0027.wav,/workspace/diagnostics_train/normalized/noisy/0027.wav
/workspace/diagnostics_train/normalized/clean/0031.wav,/workspace/diagnostics_train/normalized/noisy/0031.wav
/workspace/diagnostics_train/normalized/clean/0033.wav,/workspace/diagnostics_train/normalized/noisy/0033.wav
/workspace/diagnostics_train/normalized/clean/0034.wav,/workspace/diagnostics_train/normalized/noisy/0034.wav
/workspace/diagnostics_train/normalized/clean/0035.wav,/workspace/diagnostics_train/normalized/noisy/0035.wav
/workspace/diagnostics_train/normalized/clean/0037.wav,/workspace/diagnostics_train/normalized/noisy/0037.wav
/workspace/diagnostics_train/normalized/clean/0038.wav,/workspace/diagnostics_train/normalized/noisy/0038.wav
/workspace/diagnostics_train/normalized/clean/0039.wav,/workspace/diagnostics_train/normalized/noisy/0039.wav
/workspace/diagnostics_train/normalized/clean/0040.wav,/workspace/diagnostics_train/normalized/noisy/0040.wav
/workspace/diagnostics_train/normalized/clean/0042.wav,/workspace/diagnostics_train/normalized/noisy/0042.wav
/workspace/diagnostics_train/normalized/clean/0044.wav,/workspace/diagnostics_train/normalized/noisy/0044.wav
/workspace/diagnostics_train/normalized/clean/0045.wav,/workspace/diagnostics_train/normalized/noisy/0045.wav
/workspace/diagnostics_train/normalized/clean/0046.wav,/workspace/diagnostics_train/normalized/noisy/0046.wav
/workspace/diagnostics_train/normalized/clean/0047.wav,/workspace/diagnostics_train/normalized/noisy/0047.wav
/workspace/diagnostics_train/normalized/clean/0048.wav,/workspace/diagnostics_train/normalized/noisy/0048.wav
