clean_path,noisy_path
/workspace/dataset/train/clean/0001.wav,/workspace/dataset/train/noisy/0001.wav
/workspace/dataset/train/clean/0002.wav,/workspace/dataset/train/noisy/0002.wav
/workspace/dataset/train/clean/0003.wav,/workspace/dataset/train/noisy/0003.wav
/workspace/dataset/train/clean/0006.wav,/workspace/dataset/train/noisy/0006.wav
/workspace/dataset/train/clean/0007.wav,/workspace/dataset/train/noisy/0007.wav
/workspace/dataset/train/clean/0008.wav,/workspace/dataset/train/noisy/0008.wav
/workspace/dataset/train/clean/0009.wav,/workspace/dataset/train/noisy/0009.wav
/workspace/dataset/train/clean/0010.wav,/workspace/dataset/train/noisy/0010.wav
/workspace/dataset/train/clean/0011.wav,/workspace/dataset/train/noisy/0011.wav
/workspace/dataset/train/clean/0013.wav,/workspace/dataset/train/noisy/0013.wav
/workspace/dataset/train/clean/0016.wav,/workspace/dataset/train/noisy/0016.wav
/workspace/dataset/train/clean/0017.wav,/workspace/dataset/train/noisy/0017.wav
/workspace/dataset/train/clean/0019.wav,/workspace/dataset/train/noisy/0019.wav
/workspace/dataset/train/clean/0020.wav,/workspace/dataset/train/noisy/0020.wav
/workspace/dataset/train/clean/0021.wav,/workspace/dataset/train/noisy/0021.wav
/workspace/dataset/train/clean/0022.wav,/workspace/dataset/train/noisy/0022.wav
/workspace/dataset/train/clean/0023.wav,/workspace/dataset/train/noisy/0023.wav
/workspace/dataset/train/clean/0024.wav,/workspace/dataset/train/noisy/0024.wav
/workspace/dataset/train/clean/0025.wav,/workspace/dataset/train/noisy/0025.wav
/workspace/dataset/train/clean/0026.wav,/workspace/dataset/train/noisy/0026.wav
/workspace/dataset/train/clean/0027.wav,/workspace/dataset/train/noisy/0027.wav
/workspace/dataset/train/clean/0031.wav,/workspace/dataset/train/noisy/0031.wav
/workspace/dataset/train/clean/0033.wav,/workspace/dataset/train/noisy/0033.wav
/workspace/dataset/train/clean/0034.wav,/workspace/dataset/train/noisy/0034.wav
/workspace/dataset/train/clean/0035.wav,/workspace/dataset/train/noisy/0035.wav
/workspace/dataset/train/clean/0037.wav,/workspace/dataset/train/noisy/0037.wav
/workspace/dataset/train/clean/0038.wav,/workspace/dataset/train/noisy/0038.wav
/workspace/dataset/train/clean/0039.wav,/workspace/dataset/train/noisy/0039.wav
/workspace/dataset/train/clean/0040.wav,/workspace/dataset/train/noisy/0040.wav
/workspace/dataset/train/clean/0041.wav,/workspace/dataset/train/noisy/0041.wav
/workspace/dataset/train/clean/0042.wav,/workspace/dataset/train/noisy/0042.wav
/workspace/dataset/train/clean/0043.wav,/workspace/dataset/train/noisy/0043.wav
/workspace/dataset/train/clean/0044.wav,/workspace/dataset/train/noisy/0044.wav
/workspace/dataset/train/clean/0045.wav,/workspace/dataset/train/noisy/0045.wav
/workspace/dataset/train/clean/0046.wav,/workspace/dataset/train/noisy/0046.wav
/workspace/dataset/train/clean/0047.wav,/workspace/dataset/train/noisy/0047.wav
/workspace/dataset/train/clean/0048.wav,/workspace/dataset/train/noisy/0048.wav
/workspace/dataset/train/clean/0049.wav,/workspace/dataset/train/noisy/0049.wav
/workspace/dataset/train/clean/0050.wav,/workspace/dataset/train/noisy/0050.wav
/workspace/dataset/train/clean/0051.wav,/workspace/dataset/train/noisy/0051.wav
/workspace/dataset/train/clean/0052.wav,/workspace/dataset/train/noisy/0052.wav
/workspace/dataset/train/clean/0053.wav,/workspace/dataset/train/noisy/0053.wav
/workspace/dataset/train/clean/0054.wav,/workspace/dataset/train/noisy/0054.wav
/workspace/dataset/train/clean/0056.wav,/workspace/dataset/train/noisy/0056.wav
/workspace/dataset/train/clean/0057.wav,/workspace/dataset/train/noisy/0057.wav
/workspace/dataset/train/clean/0058.wav,/workspace/dataset/train/noisy/0058.wav
/workspace/dataset/train/clean/0059.wav,/workspace/dataset/train/noisy/0059.wav
/workspace/dataset/train/clean/0060.wav,/workspace/dataset/train/noisy/0060.wav
/workspace/dataset/train/clean/0061.wav,/workspace/dataset/train/noisy/0061.wav
/workspace/dataset/train/clean/0062.wav,/workspace/dataset/train/noisy/0062.wav
/workspace/dataset/train/clean/0065.wav,/workspace/dataset/train/noisy/0065.wav
/workspace/dataset/train/clean/0066.wav,/workspace/dataset/train/noisy/0066.wav
/workspace/dataset/train/clean/0068.wav,/workspace/dataset/train/noisy/0068.wav
/workspace/dataset/train/clean/0069.wav,/workspace/dataset/train/noisy/0069.wav
/workspace/dataset/train/clean/0070.wav,/workspace/dataset/train/noisy/0070.wav
/workspace/dataset/train/clean/0071.wav,/workspace/dataset/train/noisy/0071.wav
/workspace/dataset/train/clean/0073.wav,/workspace/dataset/train/noisy/0073.wav
/workspace/dataset/train/clean/0074.wav,/workspace/dataset/train/noisy/0074.wav
/workspace/dataset/train/clean/0075.wav,/workspace/dataset/train/noisy/0075.wav
/workspace/dataset/train/clean/0076.wav,/workspace/dataset/train/noisy/0076.wav
/workspace/dataset/train/clean/0077.wav,/workspace/dataset/train/noisy/0077.wav
/workspace/dataset/train/clean/0079.wav,/workspace/dataset/train/noisy/0079.wav
/workspace/dataset/train/clean/0080.wav,/workspace/dataset/train/noisy/0080.wav
/workspace/dataset/train/clean/0081.wav,/workspace/dataset/train/noisy/0081.wav
/workspace/dataset/train/clean/0082.wav,/workspace/dataset/train/noisy/0082.wav
/workspace/dataset/train/clean/0083.wav,/workspace/dataset/train/noisy/0083.wav
/workspace/dataset/train/clean/0085.wav,/workspace/dataset/train/noisy/0085.wav
/workspace/dataset/train/clean/0086.wav,/workspace/dataset/train/noisy/0086.wav
/workspace/dataset/train/clean/0087.wav,/workspace/dataset/train/noisy/0087.wav
/workspace/dataset/train/clean/0088.wav,/workspace/dataset/train/noisy/0088.wav
/workspace/dataset/train/clean/0090.wav,/workspace/dataset/train/noisy/0090.wav
/workspace/dataset/train/clean/0092.wav,/workspace/dataset/train/noisy/0092.wav
/workspace/dataset/train/clean/0093.wav,/workspace/dataset/train/noisy/0093.wav
/workspace/dataset/train/clean/0094.wav,/workspace/dataset/train/noisy/0094.wav
/workspace/dataset/train/clean/0095.wav,/workspace/dataset/train/noisy/0095.wav
/workspace/dataset/train/clean/0096.wav,/workspace/dataset/train/noisy/0096.wav
/workspace/dataset/train/clean/0099.wav,/workspace/dataset/train/noisy/0099.wav
/workspace/dataset/train/clean/0100.wav,/workspace/dataset/train/noisy/0100.wav
